ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,graduation_rate
AT0001,University of Vienna,Universität Wien,2020,AT,Vienna,633602882.27,513161003.37,17562705.53,79697760.09,439550842.8299999,,76211.139521108,9933.708235294,400.0,University of Vienna,61.9,82.3,46.4,31.0,22.2,100.0,96.6,92.8,71.8,152,XL,FC,VH,Public,0.1303445703307282
AT0005,Vienna University of Technology,Technische Universität Wien,2020,AT,Vienna,392999305.28,283851076.37,8083870.9,88175963.44999999,243943169.34,,22254.012227124,2928.833333333,263.0,Vienna University of Technology,55.8,47.6,56.3,18.5,71.1,91.8,95.9,29.1,59.0,197,M,FO,VH,Public,0.13160922639213937
AT0006,Graz University of Technology,Technische Universität Graz,2020,AT,Graz,264460185.67,169226710.43,2632317.16,77641793.62,172114706.29999998,,11565.474837797,1707.1776,,Graz University of Technology,36.0,21.9,22.1,99.2,18.8,86.6,71.3,15.2,42.6,427,M,FO,VH,Public,0.14760981489672967
AT0012,University of Klagenfurt,Universität Klagenfurt,2020,AT,Klagenfurt,80265912.14,69674818.06,1293229.18,8038358.600000001,64117278.52,,7362.486276309,1070.978741726,50.0,University of Klagenfurt,25.1,7.2,5.8,57.4,16.4,98.2,94.8,13.6,36.3,697,S,CO,VH,Public,0.14546427681260257
BE0005,University of Namur,Université de Namur,2020,BE,Namur,,,,,,,6794.0,1431.0,49.0,University of Namur,,6.4,8.8,5.8,44.4,37.2,59.3,10.3,53.4,801-850,M,FO,VH,,0.21062702384456874
BE0009,University of Mons,Université de Mons,2020,BE,Mons,,,,,,,8359.0,1950.0,61.0,University of Mons,,7.0,8.1,5.2,53.2,40.9,47.0,7.3,54.4,781-790,M,CO,VH,Public,0.2332814930015552
BE0056,KU Leuven,Katholieke Universiteit Leuven,2020,BE,Leuven,1150651488.0,450005253.0,49729362.0,558454158.0,670991000.0,,49179.0,15527.0,846.0,KU Leuven,79.7,93.0,63.5,9.6,94.7,95.8,65.1,83.5,94.7,60,XL,FC,VH,Public,0.3157241912198296
BE0058,Hasselt University,Universiteit Hasselt,2020,BE,Diepenbeek,123793642.27,68650423.55,4018507.82,38096736.64,76321000.0,,4416.0,1427.0,74.0,Hasselt University,28.3,8.8,5.2,85.7,22.8,78.5,41.1,6.6,62.7,597,M,FC,HI,Public,0.323143115942029
BE0059,University of Antwerp,Universiteit Antwerpen,2020,BE,Antwerp,327425122.0,168510105.0,17360418.0,118116061.0,224695000.0,,17099.0,4743.0,256.0,University of Antwerp,47.4,35.0,18.8,42.8,57.7,96.4,45.5,60.3,80.6,280,L,FC,VH,Public,0.2773846423767472
BE0060,Ghent University,Universiteit Gent,2020,BE,Gent,836062257.0,345780616.0,36896776.0,368850118.0,479788000.0,,40086.0,11950.0,660.0,Ghent University,60.8,68.2,39.1,84.5,32.4,83.4,33.8,84.9,94.0,162,XL,FC,VH,Public,0.29810906550915534
