BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
University of Vienna;70221.382413601
University of Graz;20653.472957351998
University of Innsbruck;23270.868408314003
University of Salzburg;12669.594531466
Vienna University of Technology;21691.033912668
Graz University of Technology;11198.365723726
University of Leoben;2199.411111111
University of Natural Resources and Life Sciences, Vienna;8316.300363512
University of Veterinary Medicine Vienna;1700.245623932
Vienna University of Economics and Business;18342.941848108
University of Linz;17352.737581486
University of Klagenfurt;6848.891522519
University for Continuing Education Krems;7767.3166666669995
Medical University of Vienna;5684.919660895001
Medical University of Graz;3461.419208333
Medical University of Innsbruck;3101.6400000000003
Academy of Fine Arts Vienna;1124.35
University of Applied Arts Vienna;1574.408333333
University of Music and Performing Arts in Vienna;2308.255555556
University Mozarteum Salzburg;1270.335854485
University of Music and Performing Arts Graz;1303.05253794
University of Art and Design Linz;1044.023143244
Catholic Private University Linz;195.25
Private University for Health Sciences, Medical Informatics and Technology;935.7
Paracelsus Medical University;2039.3666666660001
Webster University Vienna - Private University;505.833333333
Anton Bruckner Private University;711.8166666669999
New Design University St. Pölten (NDU);558.5833333329999
Music and Arts University of the City of Vienna;792.4166666670001
Sigmund Freud Private University Vienna;5851.249999999
MODUL University Vienna Private University;621
Private University Schloss Seeburg;991.833333333
University College of Teacher Education Burgenland;1111.372461396
University College of Teacher Education Carinthia;929.7424637240001
University College of Teacher Education Lower Austria;2543.59573852
University College of Teacher Education Upper Austria;2801.6413142349998
Private University College of Teacher Education of the Diocese of Linz;1718.3713829110002
University College of Teacher Education Salzburg Stefan Zweig;1230.571742649
University College of Teacher Education Styria;2951.251613361
Private University College of Teacher Education Augustinum;824.4504791290001
University College of Teacher Education Tyrol;1398.7117350089998
University College of Teacher Education Edith Stein;464.461247672
University College of Teacher Education Vorarlberg;746.5316343879999
University College of Teacher Education in Vienna;4417.775673708
Christian University College of Teacher Education Vienna/Krems;2919.35332062
University College of Teacher Education for Agricultural and Environmental Education Vienna;910.2011904770001
University of Applied Sciences Burgenland;9553.942857142
Salzburg University of Applied Sciences;3689.083333333
St. Pölten University of Applied Sciences;3522.141666667
CAMPUS 02 University of Applied Sciences;1470.1602564099999
University of Applied Sciences BFI Vienna;6025.4
Management Center Innsbruck;3416.583333333
Federal Ministry of Defence;276.166666667
University of Applied Sciences Kufstein Tirol;1673.0833333330002
University of Applied Sciences Upper Austria;5452.725
University of Applied Sciences Campus Vienna;7545.351165501
Lauder Business School;414.66666666599997
Health University of Applied Sciences Tyrol;1825.166666667
Ferdinand Porsche FERNFH;907.733333333
FHWien der WKW;3605.741666667
Vorarlberg University of Applied Sciences;1681.6666666659999
University of Applied Sciences Technikum Vienna;4787.075
IMC University of Applied Sciences Krems;3090.366666666
University of Applied Sciences Wiener Neustadt;4231.416666667
Carinthia University of Applied Sciences;2916.75
FH JOANNEUM University of Applied Sciences;5139.666666666
Danube Private University;2433.75
University of Applied Sciences for Health Professions Upper Austria;1776.666666667
Karl Landsteiner University of Health Sciences;787.090909091
JAM MUSIC LAB Private University for Jazz and Popular Music;197.533333333
Central European University Private University;1315.083333333
Stella Vorarlberg Private University College of Music;97
University of Sustainability - Charlotte Fresenius Privatuniversität;56.5
Joseph Haydn Private University College Burgenland (JHP);197.333333333
Gustav Mahler Private University of Music;283
Bertha von Suttner St. Pölten Private University;322.333333333
University of Namur;m
UCLouvain;m
University of Liège;m
University of Mons;m
ULB;m
Haute Ecole ICHEC - ECAM - ISFSC;4950
Haute Ecole Albert Jacquard;2685
;2625
;3040
;2015
;9725
University College of the Province of Namur;1015
;1420
EPHEC University College;8420
;2940
;2875
;8755
;2760
HELMo University College;8735
;9245
;1355
HEPH-Condorcet;8525
;380
Royal Academy of fine-Arts of Brussels;545
;335
Royal Conservatoire of Brussels;605
Conservatoire royal de Liège;320
Superior School of Circus Arts;45
;470
La Cambre;760
;195
ESA Saint-Luc Liège;1275
;405
;485
;290
;415
KU Leuven;50440
Transnational University Limburg;1745
Hasselt University;4610
University of Antwerp;17895
Ghent University;41710
The Vrije Universiteit Brussel;16935
University college Arteveldehogeschool;14255
Erasmus University College Brussels;6425
Antwerp maritime academy;500
University College Ghent;16745
Howest, University College West Vlaanderen;9095
LUCA School of Arts;3740
Karel de Grote University College;13530
Catholic University College Vives Noord;4080
Thomas More Kempen;7900
UC Leuven;10060
UC Limburg;5330
Catholic University College Vives Zuid;11675
University College of Namur - Liège - Luxembourg;6180
Arts² Academy of Arts;765
ODISEE;11515
AP University College Antwerpen;15970
PXL University College;9800
Thomas More Mechelen-Antwerpen;9500
ESA Saint-Luc Bruxelles;845
;4455
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
;m
"South-West University ""Neofit Rilski""";6446
American University in Bulgaria;1002
Blagoevgrad College of Tourism;537
