name,city,student_fees,charges_fees,highest_degree,staff_fte,web_pages,total_students,per_student_fees,latitude,longitude
University of Vienna,Vienna,17131218.28,1,3.0,6378.5469,,70221.382413601,243.96013993427025,48.2083537,16.3725042
University of Graz,Graz,3628120.01,1,3.0,2738.7869,,20653.472957352,175.66634035311242,47.0708678,15.4382786
University of Innsbruck,Innsbruck,3890197.44,1,3.0,3122.686,,23270.868408314003,167.1702736546843,47.2654296,11.3927685
University of Salzburg,Salzburg,2669432.9,1,3.0,1730.8032,,12669.594531466,210.69600083650977,47.7981346,13.0464806
Vienna University of Technology,Vienna,7284097.67,1,3.0,3929.7488,,21691.033912668,335.81145552245624,48.2083537,16.3725042
Graz University of Technology,Graz,3193395.39,1,3.0,2637.8773,,11198.365723726,285.16619913869636,47.0708678,15.4382786
University of Leoben,Leoben,797398.87,1,3.0,932.2882,,2199.411111111,362.55107831896225,47.3805128,15.0947756
University of Natural Resources and Life Sciences,,,0,,,,,0.0,,    
University of Veterinary Medicine Vienna,Vienna,214874.11,1,3.0,1155.4197,,1700.245623932,126.37827557119695,48.2083537,16.3725042
Vienna University of Economics and Business,Vienna,3392025.05,1,3.0,1515.9303,,18342.941848108,184.92263008236455,48.2083537,16.3725042
University of Linz,Linz,4090152.98,1,3.0,2130.8351,,17352.737581486,235.70649649908094,48.3059078,14.286198
University of Klagenfurt,Klagenfurt,1384511.44,1,3.0,884.1888,,6848.891522519,202.15117080592643,46.623943,14.3075976
University for Continuing Education Krems,Krems an der Donau,20135148.24,1,3.0,608.898,,7767.316666666999,2592.2914056547806,48.4108382,15.6003717
Medical University of Vienna,Vienna,1022496.65,1,3.0,4841.86,,5684.919660895001,179.86123129117786,48.2083537,16.3725042
Medical University of Graz,Graz,440571.78,1,3.0,2074.5977,,3461.419208333,127.28067693718523,47.0708678,15.4382786
Medical University of Innsbruck,Innsbruck,436366.56,1,3.0,1720.2657,,3101.6400000000003,140.6889774441908,47.2654296,11.3927685
Academy of Fine Arts Vienna,Vienna,460341.62,1,3.0,344.3375,,1124.35,409.4291101525326,48.2083537,16.3725042
University of Applied Arts Vienna,Vienna,362953.53,1,3.0,523.7976,,1574.408333333,230.5332881665029,48.2083537,16.3725042
