QS_name,country,proposed_ETER_name,similarity,accept
Université Paris-Saclay,France,Université Paris-saclay,100.0,accept=true
Umeå University,Sweden,Umeå university,100.0,accept=true
Università degli Studi di Udine,Italy,Università degli Studi di UDINE,100.0,accept=true
Università degli Studi Roma Tre,Italy,Università degli Studi ROMA TRE,100.0,accept=true
Athens University of Economics And Business,Greece,Athens University of Economics and Business,100.0,accept=true
Silesian University of Technology in Gliwice,Poland,Silesian University of Technology in Gliwic,98.9,accept=true
Universidade de Santiago de Compostela,Spain,Universidad de Santiago de Compostela,98.7,accept=true
Università  Cattolica del Sacro Cuore,Italy,Università Cattolica del Sacro Cuore,98.6,accept=true
Università  degli Studi di Pavia,Italy,Università degli Studi di PAVIA,98.4,accept=true
ISCTE - Instituto Universitario de Lisboa,Portugal,ISCTE - Instituto Universitário de Lisboa,97.6,accept=true
"Sofia University ""St. Kliment Ohridski""",Bulgaria,Sofia University St. Kliment Ohridski,97.4,accept=true
Stefan cel Mare University of Suceava,Romania,"""Stefan cel Mare"" University of Suceava",97.4,accept=true
Universidade de Vigo,Spain,Universidad de Vigo,97.4,accept=true
Johannes Gutenberg Universität Mainz,Germany,Johannes Gutenberg-Universität Mainz,97.2,accept=true
Poznan University of Life Sciences,Poland,Poznań University of Life Sciences,97.1,accept=true
Transilvania University of Brasov,Romania,"""Transilvania"" University of Brasov",97.1,accept=true
Universitat Autónoma de Barcelona,Spain,Universitat Autònoma de Barcelona,97.0,accept=true
University of Naples - Federico II,Italy,University of Naples Federico II,97.0,accept=true
Ecole Normale Supérieure de Lyon,France,École normale supérieure de Lyon,96.9,accept=true
Ca' Foscari University of Venice,Italy,Ca’ Foscari University of Venice,96.9,accept=true
Poznan University of Technology,Poland,Poznań University of Technology,96.8,accept=true
Gdansk University of Technology,Poland,Gdańsk University of Technology,96.8,accept=true
Technical University of Kosice,Slovakia,Technical University of Košice,96.7,accept=true
"Universita' degli Studi di Napoli ""Parthenope""",Italy,"Università degli Studi di NAPOLI ""Parthenope""",96.7,accept=true
Université Jean Moulin Lyon 3,France,Université Jean Moulin - Lyon 3,96.7,accept=true
West University of Timisoara,Romania,West University of Timişoara,96.4,accept=true
Université Lumière Lyon 2,France,Université Lumière - Lyon 2,96.2,accept=true
Université Paris-Nanterre,France,Université Paris Nanterre,96.0,accept=true
Universita' degli Studi della Tuscia,Italy,Università degli Studi della TUSCIA,95.8,accept=true
"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,"""Gheorghe Asachi"" Technical University of Iasi",95.8,accept=true
Riga Stradins University,Latvia,Riga Stradinš University,95.8,accept=true
Universitat Ramon Llull,Spain,Universitat Ramón Llull,95.7,accept=true
Université Côte d’Azur,France,Université Côte d'Azur,95.5,accept=true
Università degli Studi di Roma - Tor Vergata,Italy,"Università degli Studi di ROMA ""Tor Vergata""",95.5,accept=true
Abo Akademi University,Finland,Åbo Akademi University,95.5,accept=true
Technological University of Dublin,Ireland,Technological University Dublin,95.4,accept=true
University of Wroclaw,Poland,University of Wrocław,95.2,accept=true
"Université Toulouse 1, Capitole",France,Université Toulouse 1 - Capitole,95.2,accept=true
Comenius University Bratislava,Slovakia,Comenius University in Bratislava,95.2,accept=true
University of Gdansk,Poland,University of Gdańsk,95.0,accept=true
Libera Universita' di Bolzano,Italy,Libera Università di BOLZANO,94.7,accept=true
University of Liege,Belgium,University of Liège,94.7,accept=true
Université Paris 1 Panthéon-Sorbonne,France,Université Paris 1 - Panthéon Sorbonne,94.6,accept=true
UCAM Universidad Católica San Antonio de Murcia,Spain,Universidad Católica San Antonio de Murcia,94.4,accept=true
Universita' degli Studi di Urbino Carlo Bo,Italy,"Università degli Studi di URBINO ""Carlo BO""",94.1,accept=true
University Toulouse – Jean Jaurès,France,Université Toulouse - Jean Jaurès,93.9,accept=true
Universidade da Coruña,Spain,Universidad de A Coruña,93.3,accept=true
Institut National des Sciences Appliquées de Lyon (INSA),France,Institut national des sciences appliquées de Lyon,93.3,accept=true
"Universidade Católica Portuguesa, UCP",Portugal,Universidade Católica Portuguesa,92.8,accept=true
TUHH Hamburg University of Technology,Germany,Hamburg University of Technology,92.8,accept=true
Université Grenoble Alpes,France,EPE université Grenoble Alpes,92.6,accept=true
The University of Amsterdam,Netherlands,University of Amsterdam,92.0,accept=true
Université de Bretagne Occidentale (UBO),France,Université de Bretagne Occidentale,91.9,accept=true
Karlsruhe Institute of Technology (KIT),Germany,Karlsruhe Institute of Technology,91.7,accept=true
Université Catholique de Louvain (UCL),Belgium,Université catholique de Louvain,91.4,accept=true
Universitat Politecnica de Valencia,Spain,Universidad Politécnica de Valencia,91.4,accept=true
University of the Algarve,Portugal,University of Algarve,91.3,accept=true
University of Lisbon,Portugal,New University of Lisbon,90.9,accept=false
Université Libre de Bruxelles (ULB),Belgium,Université libre de Bruxelles,90.6,accept=true
Wroclaw University of Science and Technology (WUST),Poland,Wrocław University of Science and Technology,90.5,accept=true
Université de Caen Normandie,France,Université de Caen Basse-Normandie,90.3,accept=true
Universität Erlangen-Nürnberg,Germany,University of Erlangen-Nürnberg,90.0,accept=true
Vrije Universiteit Brussel (VUB),Belgium,Vrije Universiteit Brussel,89.7,accept=true
CEU University,Spain,IE University,88.9,accept=false
University of Modena and Reggio Emilia,Italy,University of Modena and Reggio Emilia (UNIMORE),88.4,accept=true
Università degli studi di Bergamo,Italy,Università degli Studi di BRESCIA,87.9,accept=false
Lappeenranta-Lahti University of Technology LUT,Finland,Lappeenranta-Lahti University of Technology (LUT University),87.9,accept=true
University of Bari,Italy,University of Sassari,87.2,accept=false
