ETER_ID_Year,ETER_ID,Institution_Name,English_Institution_Name,Reference_year,Country_Code,Institution_Category_standardized,Legal_status,Foundation_year,Region_of_establishment_(NUTS_2),Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Total_core_budget_(EURO),Total_third_party_funding_(EURO),Public_third_party_funding_(EURO),Private_third_party_funding_(EURO),Student_fees_funding_(EURO),R&D_Expenditure_(EURO),Total_Current_expenditure_(EURO),Personnel_expenditure_(EURO),Total_students_enrolled_at_ISCED_5,Total_students_enrolled_at_ISCED_6,Total_students_enrolled_at_ISCED_7,Total_students_enrolled_ISCED_5_7,Total_students_enrolled_at_ISCED_8,Total_graduates_at_ISCED_5,Total_graduates_at_ISCED_6,Total_graduates_at_ISCED_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Total_academic_personnel_(FTE),Total_academic_personnel_(HC),Total_personnel_(FTE),Total_core_budget_/_Total_current_revenues,Total_third_party_funding_/_Total_current_revenues,Student_fees_funding_/_Total_current_revenues,PhD_intensity,Academic_staff_/_total_staff_(FTE)
AD0001.2020,AD0001,Universitat d'Andorra,University of Andorra,2020,AD,1.0,0.0,1988.0,AD00,Sant Julià de Lòria,3743096.0,2749677.0,2749677.0,265977.0,0.0,265977.0,727442.0,,3743096.0,2533554.0,0.0,,,524.0,23.0,0.0,,,96.0,0,,271.0,,0.7345996469232956,0.0710580225567284,0.194342330519976,0,
AD0002.2020,AD0002,Universitat Oberta La Salle,La Salle Open University,2020,AD,1.0,1.0,2012.0,AD00,La Massana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT0001.2020,AT0001,Universität Wien,University of Vienna,2020,AT,1.0,0.0,1365.0,AT13,Vienna,633602882.27,513161003.37,513161003.37,79697760.09,,,17562705.53,,621331532.55,439550842.8299999,591.429700855,45477.954684383,20322.319273584,76211.139521108,4392.086868687,0.0,5788.625235294,2859.583,9933.708235294,400,2593.3876,4813.0,6059.7455,0.8099095154547047,0.1257850340018466,0.0277187904623766,"0,04026693662884307",1.0
AT0002.2020,AT0002,Universität Graz,University of Graz,2020,AT,1.0,0.0,1585.0,AT22,Graz,261003139.02,221153286.6,221153286.6,30108120.62,,,3838892.74,,256548564.4,188872642.48,287.726190476,12700.129689588,5345.432886237,22146.780036142,1247.25995671,0.0,1753.233491607,1089.346175,3707.079666607,"138,5",1099.2172,2074.0,2598.3363,0.8473204093650903,0.1153553966172525,0.0147082244083885,"0,03736094512551053",1.0
AT0003.2020,AT0003,Universität Innsbruck,University of Innsbruck,2020,AT,1.0,0.0,1669.0,AT33,Innsbruck,314274294.08000004,255075508.55,255075508.55,50547320.57000001,,,3344041.92,,291484999.0500001,216958073.87000003,219.25,15117.962354425,6017.132613333,24097.780636735,2118.508766234,0.0,2258.591733333,1285.620158333,4058.961891666,"230,7",1291.6547,2410.0,2944.887,0.8116333831779106,0.1608382280134338,0.0106405200265878,"0,056837192897445314",1.0
AT0004.2020,AT0004,Universität Salzburg,University of Salzburg,2020,AT,1.0,0.0,1622.0,AT32,Salzburg,176509720.55,145817323.46,145817323.46,26450505.07,,,2405247.21,,168029507.35,128542481.06,322.166666667,7661.760269232,3848.592985091,13474.720317815,952.586111111,0.0,997.352741667,815.698005,2037.550746667,"95,5",735.352,1123.0,1709.4393,0.8261149754565175,0.1498529655340276,0.0136267124694623,"0,04686999828407597",1.0
AT0005.2020,AT0005,Technische Universität Wien,Vienna University of Technology,2020,AT,1.0,0.0,1872.0,AT13,Vienna,392999305.28,283851076.37,283851076.37,88175963.44999999,,,8083870.9,,375498771.59,243943169.34,87.333333333,15499.997762423,6630.178246753,22254.012227124,1914.803968254,0.0,1740.333333333,1187.5,2928.833333333,263,1231.9125,1690.0,3660.8188,0.7222686466780515,0.2243667158321751,0.0205696824177347,"0,08979684743641834",1.0
AT0006.2020,AT0006,Technische Universität Graz,Graz University of Technology,2020,AT,1.0,0.0,1874.0,AT22,Graz,264460185.67,169226710.43,169226710.43,77641793.62,,,2632317.16,,244692077.8,172114706.29999998,17.25,8039.459304464,3491.6322,11565.474837797,1231.174242424,0.0,955.9276,744.75,1707.1776,"178,5",836.986,1055.0,2591.7985,0.6398948484486254,0.2935859453599694,0.0099535480296632,"0,10455854153662747",1.0
AT0007.2020,AT0007,Montanuniversität Leoben,University of Mining Leoben,2020,AT,1.0,0.0,1904.0,AT22,Leoben,95103453.95,58361801.52,58361801.52,33343961.33,,,938258.21,,77517412.66,57302741.64999999,40.0,2187.733333333,649.2,2877.766666666,366.016666667,0.0,322.0,268.5,590.5,"92,5",242.9061,357.0,885.9868,0.6136664768314654,0.3506072592014415,0.0098656586173335,"0,15664690939881457",1.0
AT0008.2020,AT0008,Universität für Bodenkultur Wien,"University of Natural Resources and Life Sciences, Vienna",2020,AT,1.0,0.0,1872.0,AT13,Vienna,199162775.25,142099651.7,142099651.7,53312418.56,,,2287742.75,,192241251.46,125791048.99,42.833333333,5466.458150072,3288.295454545,8800.28693795,809.177777778,0.0,744.608333333,633.2,1377.808333333,135,551.72,846.0,1809.005,0.713484994982766,0.2676826454797054,0.0114867989117358,"0,09798169798656028",1.0
