Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
23,22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72,98.9,63,95.9,63,57.3,293,87.8,83=,90.2
28,28,24,PSL University,France,Europe,L,CO,VH,Public,82.6,86,98.5,31,98.6,48,85.1,123,69.6,336,75.5,252,77.9,222,99.7,3,97.5,51,87.8,83=,88.6
41,41,46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185,99.8,14,94.8,76,97.3,52,99.9,99,99.2,61,99.2,50,93,125,99.1,25,77.9,198=,85.4
47,47,49,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,86.2,76,90.4,71,49.1,392,84.6,126,100,68,94.8,128,95.1,109,93.8,102,66,235,96.3,15=,84.3
53,53,55,The University of Amsterdam,Netherlands,Europe,XL,FC,VH,Public,92.5,57,72.6,135,27.5,688,87.2,113,98.8,133,95.8,117,71.3,259,95.1,82,90.3,104,64,422=,81.5
58,58,59,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,Public,97.1,41,95.5,47,41,493,62.3,271,80.3,296,53.2,387,57.6,354,95.5,72,76.8,172,87,89,80.1
60,60,63,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93,53,63.5,169,9.6,801+,94.7,75,95.8,166,65.1,307,48.5,428,99.5,4,83.5,143,94.7,25,79.7
70,70,73,Université Paris-Saclay,France,Europe,XL,CO,VH,Public,75.3,112,99.4,19,99.9,24,42.4,450,45.9,463,72.7,263,75.4,233,98.5,16,82.9,146,92.7,39=,75.9
72,72,75,Lund University,Sweden,Europe,L,FC,VH,Public,80.1,99,64.1,167,68.1,246,56.6,312,98.8,134,82,213,83.7,181,97.1,35,96.1,65,98.8,3=,75.7
73,72,63,Sorbonne University (merged from Paris IV & UPMC),France,Europe,XL,FC,VH,Public,93.2,52,62.1,182,56.4,329,68.8,225,35.5,533,66.8,300,70,270,99.4,9,84.2,140,89.2,68=,75.7
75,75,87,"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,Public,82.5,87,68.1,154,28.7,662,66,240,100,88,94.9,126,95.2,107,89.4,183,95.3,74,73.8,262=,73.9
78,78,74,KTH Royal Institute of Technology,Sweden,Europe,L,FO,VH,Public,60.2,174,62.1,183,68.3,242,88.2,109,95.6,171,81.8,215,60.9,331,91.7,147,72.7,197,89.8,66,73.6
80,80,84,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,L,FO,VH,Public,87.1,74,72.2,138,99.8,32,41.4,456,66.2,352,71.4,265,74.1,240,94.7,88,34.6,494,85.5,106,73
89,88,97,Freie Universität Berlin,Germany,Europe,L,FC,VH,Public,88.3,71,66.4,160,8.3,801+,84.3,128,73.8,322,56,373,60.2,340,94.4,92,46.9,374,65.4,391,71.1
93,93,103,Uppsala University,Sweden,Europe,L,FC,VH,Public,74.7,113,48.1,268,66.3,260,55.9,318,99.7,106,82.9,207,84.5,174,95.9,60,82.9,145,94.4,26,70.3
98,98,102,Karlsruhe Institute of Technology (KIT),Germany,Europe,L,FO,VH,Public,57.1,194,87.4,82,48.9,397,77.1,168,83.8,265,56.9,363,61.1,330,86.9,219,61.5,254,79.5,180=,69.1
99,98,111,Politecnico di Milano,Italy,Europe,XL,CO,VH,Public,83.4,84,90.1,72,9.3,801+,53.9,343,74.4,317,69.3,281,72.3,252,87,215,72,199,72.9,275=,69.1
101,101,100,University of Copenhagen,Denmark,Europe,XL,FC,VH,Public,85.5,79,41.7,324,99.6,34,36.6,512,87.3,241,26.5,640,19.9,765,98,22,94.4,77,76.3,221,68.4
104,103,105,Utrecht University,Netherlands,Europe,XL,FC,VH,Public,79.3,100,49.2,258,39.5,514,77.9,165,63.4,367,30.5,586,22.8,723,97.8,23,73.2,194,75.1,235,67.7
106,105,99,Rheinisch-Westfälische Technische Hochschule Aachen,Germany,Europe,L,FC,VH,Public,57.7,187,95.7,46,10.7,801+,79.7,157,59.6,393,93,146,93.5,122,86,237,55.9,298,82.9,135=,67.6
