freq,freq_label,unit,unit_label,sex,sex_label,age,age_label,geo,geo_label,time,time_label,population
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2010,2010,650632.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2011,2011,649018.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2012,2012,642314.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2013,2013,635280.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2014,2014,629626.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2015,2015,628388.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2016,2016,634837.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2017,2017,632988.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2018,2018,630153.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2019,2019,631502.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2020,2020,636442.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2021,2021,640531.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2022,2022,652920.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BE,Belgium,2023,2023,673609.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2010,2010,409882.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2011,2011,380036.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2012,2012,358043.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2013,2013,339905.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2014,2014,316432.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2015,2015,302865.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2016,2016,297037.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2017,2017,287017.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2018,2018,279857.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2019,2019,279195.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2020,2020,274476.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2021,2021,277947.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2022,2022,289128.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,BG,Bulgaria,2023,2023,301621.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2010,2010,611895.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2011,2011,578984.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2012,2012,541105.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2013,2013,510265.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2014,2014,479874.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2015,2015,463083.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2016,2016,458003.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2017,2017,458673.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2018,2018,462200.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2019,2019,467391.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2020,2020,478030.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2021,2021,486582.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2022,2022,503305.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,CZ,Czechia,2023,2023,556689.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2010,2010,350928.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2011,2011,356466.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2012,2012,359125.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2013,2013,358224.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2014,2014,356746.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2015,2015,352904.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2016,2016,350964.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2017,2017,349350.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2018,2018,345980.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2019,2019,344415.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2020,2020,343282.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2021,2021,341466.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2022,2022,343723.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DK,Denmark,2023,2023,347923.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2010,2010,4317072.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2011,2011,4068782.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2012,2012,4027946.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2013,2013,4038105.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2014,2014,4040497.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2015,2015,4066788.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2016,2016,4189964.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2017,2017,4172869.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2018,2018,4080567.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2019,2019,4003477.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2020,2020,3939243.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2021,2021,3856774.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2022,2022,3826980.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,DE,Germany,2023,2023,3864600.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2010,2010,79750.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2011,2011,73180.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2012,2012,68634.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2013,2013,64021.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2014,2014,61311.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2015,2015,59842.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2016,2016,59938.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2017,2017,59546.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2018,2018,60173.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2019,2019,61227.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2020,2020,62917.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2021,2021,64309.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2022,2022,66578.0
A,Annual,NR,Number,T,Total,Y15-19,From 15 to 19 years,EE,Estonia,2023,2023,72125.0
