DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Albania,2021,3831,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Albania,2022,3676,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Albania,2023,3212,d,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2015,77883,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2016,75020,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2017,72399,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2018,70006,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2019,67660,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2020,68644,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2021,68908,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2022,66231,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2023,68435,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,Austria,2024,66109,,
