name,city,student_fees,highest_degree,staff_fte,web_pages
University of Vienna,Vienna,17131218.28,3.0,6378.5469,
University of Graz,Graz,3628120.01,3.0,2738.7869,
University of Innsbruck,Innsbruck,3890197.44,3.0,3122.686,
University of Salzburg,Salzburg,2669432.9,3.0,1730.8032,
Vienna University of Technology,Vienna,7284097.67,3.0,3929.7488,
Graz University of Technology,Graz,3193395.39,3.0,2637.8773,
University of Leoben,Leoben,797398.87,3.0,932.2882,
University of Natural Resources and Life Sciences,,,,,
University of Veterinary Medicine Vienna,Vienna,214874.11,3.0,1155.4197,
Vienna University of Economics and Business,Vienna,3392025.05,3.0,1515.9303,
University of Linz,Linz,4090152.98,3.0,2130.8351,
University of Klagenfurt,Klagenfurt,1384511.44,3.0,884.1888,
University for Continuing Education Krems,Krems an der Donau,20135148.24,3.0,608.898,
Medical University of Vienna,Vienna,1022496.65,3.0,4841.86,
Medical University of Graz,Graz,440571.78,3.0,2074.5977,
Medical University of Innsbruck,Innsbruck,436366.56,3.0,1720.2657,
Academy of Fine Arts Vienna,Vienna,460341.62,3.0,344.3375,
University of Applied Arts Vienna,Vienna,362953.53,3.0,523.7976,
University of Music and Performing Arts in Vienna,Vienna,745822.89,3.0,989.8833,
University Mozarteum Salzburg,Salzburg,425187.94,3.0,518.7885,
University of Music and Performing Arts Graz,Graz,390183.86,3.0,509.4106,
University of Art and Design Linz,Linz,371372.27,3.0,266.6445,
Catholic Private University Linz,Linz,,3.0,63.95,
Private University for Health Sciences,,,,,
Paracelsus Medical University,Salzburg,,3.0,244.08,
Anton Bruckner Private University,Linz,,3.0,165.52,
Sigmund Freud Private University Vienna,Vienna,,3.0,458.54,
MODUL University Vienna Private University,Vienna,,3.0,107.23,
Private University Schloss Seeburg,Seekirchen am Wallersee,,3.0,47.27,
Danube Private University,Krems an der Donau,,3.0,170.73,
Central European University Private University,Vienna,,3.0,398.88,
University of Sustainability - Charlotte Fresenius PrivatuniversitÃ¤t,Vienna,,3.0,8.0,
University of Namur,Namur,,3.0,,
UCLouvain,Louvain-La-Neuve,,3.0,,
University of LiÃ¨ge,LiÃ¨ge,,3.0,,
University of Mons,Mons,,3.0,,
ULB,Brussels,,3.0,,
KU Leuven,Leuven,63873623.3,3.0,12350.11,['https://www.kuleuven.be/kuleuven/']
Transnational University Limburg,Diepenbeek,,3.0,,
Hasselt University,Diepenbeek,5495348.44,3.0,1494.45,['http://www.uhasselt.be/']
University of Antwerp,Antwerp,24504447.0,3.0,4018.7,
Ghent University,Gent,45547751.0,3.0,8937.74,
The Vrije Universiteit Brussel,Ixelles,18861306.88,3.0,3617.53,
Krastyo Sarafov National Academy for Theatre and Film Arts,Sofia,,3.0,,
National Academy of Art,Sofia,,3.0,,
"""National Academy of Music """"Prof. Pantcho Vladigerov""""""",Sofia,,3.0,,
New Bulgarian University,Sofia,,3.0,,['http://www.nbu.bg/']
Higher School of Civil Engineering â€œLyuben Karavelovâ€œ,Sofia,,3.0,,
Todor Kableshkov Higher School of Transport,Sofia,,3.0,,
Academy of Ministry of Interior,Sofia,,3.0,,
"""""""G. S. Rakovski"""" National Defence College â€“ Sofia""",Sofia,,3.0,,
State University of Library Studies and Information Technologies,Sofia,,3.0,,
University of Telecommunications and Post,Sofia,,3.0,,
University of finance,,,,,
International Business School,Botevgrad,,3.0,,
Trakia University,Stara Zagora,,3.0,,
Konstantin Preslavsky University of Shumen,Shumen,,3.0,,
Bulgarian Academy of Sciences,Sofia,,3.0,,
"""Bulgarian Air Force Academy """"Georgi Benkovski"""" - Dolna Mitropolia""",Dolna Mitropolia,,3.0,,
University of Cyprus,Nicosia,20256228.0,3.0,1231.0,['http://www.ucy.ac.cy/']
Open University of Cyprus,Latsia,3645569.0,3.0,89.0,['http://www.ouc.ac.cy/']
Cyprus University of Technology,Limassol,8545604.0,3.0,569.0,['http://www.cut.ac.cy/']
University of Nicosia,Nicosia,,3.0,628.0,['http://www.unic.ac.cy/']
Frederick University,Nicosia,,3.0,307.0,['http://www.frederick.ac.cy/']
European University - Cyprus,Nicosia,,3.0,557.0,
Neapolis University,Paphos,,3.0,140.0,
The Cyprus Institute,Nicosia,,3.0,55.0,
Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics,Nicosia,,3.0,41.0,
University of Central Lancashire - Cyprus,Larnaca,,3.0,147.0,
Academy of Performing Arts in Prague,Prague,,3.0,489.543,
Academy of Fine Arts in Prague,Prague,,3.0,141.577,
Czech University of Life Sciences,,,,,
Czech Technical University in Prague,Prague,,3.0,4177.79,
JanÃ¡Äek Academy of Music and Performing Arts in Brno,Brno,,3.0,330.802,
University of South Bohemia in ÄŒeskÃ© BudÄ›jovice,ÄŒeskÃ© BudÄ›jovice,,3.0,1532.044,
Masaryk University,Brno,,3.0,5067.704,['https://www.muni.cz/']
Mendel University in Brno,Brno,,3.0,1648.746,
University of Ostrava,Ostrava,,3.0,1104.667,['http://www.osu.cz/']
Silesian University in Opava,Opava,,3.0,626.1809999999999,
Technical University of Liberec,Liberec,,3.0,1084.589,['http://www.vslib.cz/']
University of Hradec KrÃ¡lovÃ©,Hradec KrÃ¡lovÃ©,,3.0,689.142,
University of J. E. PurkynÄ› in ÃšstÃ­ nad Labem,ÃšstÃ­ nad Labem,,3.0,913.083,
Charles University,Prague,,3.0,9348.805,
PalackÃ½ University,,,,,
University of Pardubice,Pardubice,,3.0,1165.554,['http://www.upce.cz/']
Tomas Bata University in ZlÃ­n,ZlÃ­n,,3.0,1000.22,
University of Veterinary and Pharmaceutical Sciences,,,,,
VÅ B â€“ Technical University of Ostrava,Ostrava,,3.0,2096.791,
University of Economics,,,,,
University of Chemistry and Technology,,,,,
Academy of Arts,,,,,
Brno University of Technology,Brno,,3.0,3080.57,"['https://www.vutbr.cz/', 'https://www.vut.cz/']"
University of West Bohemia in Pilsen,PlzeÅˆ,,3.0,1964.713,
Police Academy of the Czech Republic in Prague,Prague,0.0,3.0,,
University of Defence,Brno,0.0,3.0,,
University of Freiburg,Freiburg im Breisgau,3805051.0,3.0,4080.0,
Heidelberg University,Heidelberg,4980816.0,3.0,4417.0,
University of Hohenheim,Stuttgart,2523644.0,3.0,1737.0,
Karlsruhe Institute of Technology,Karlsruhe,3988020.0,3.0,4854.0,
University of Konstanz,Konstanz,2540529.0,3.0,2157.0,
University of Mannheim,Mannheim,3066713.0,3.0,1445.0,
University of Stuttgart,Stuttgart,9951796.0,3.0,5366.0,
TÃ¼bingen University,TÃ¼bingen,9960685.0,3.0,4100.0,
Ulm University,Ulm,2984095.0,3.0,1599.0,
Zeppelin University Friedrichshafen (Priv. H),Friedrichshafen,4840521.0,3.0,198.0,
Hochschule fÃ¼r jÃ¼dische Studien Heidelberg,Heidelberg,1070.0,3.0,38.0,
University of Augsburg,Augsburg,263996.0,3.0,2041.0,
University of Bamberg,Bamberg,801873.0,3.0,1213.0,
University of Bayreuth,Bayreuth,337173.0,3.0,2274.0,
Catholic University of EichstÃ¤tt-Ingolstadt,EichstÃ¤tt,338441.0,3.0,723.0,
University of Erlangen-NÃ¼rnberg,Erlangen,58401.0,3.0,5400.0,
Ludwig Maximilian University of Munich,Munich,472208.0,3.0,6529.0,
Technical University of Munich,Munich,6628107.0,3.0,8786.0,
Bundeswehr University Munich,Neubiberg,3034683.0,3.0,1688.0,
University of Passau,Passau,21347.0,3.0,1116.0,
University of Regensburg,Regensburg,0.0,3.0,2877.0,
University of WÃ¼rzburg,WÃ¼rzburg,1132628.0,3.0,3923.0,
Free University of Berlin,Berlin,5569160.0,3.0,4994.0,
Technical University of Berlin,Berlin,8932134.0,3.0,4887.0,
CharitÃ© - UniversitÃ¤tsmedizin Berlin,Berlin,,3.0,,
Humboldt University of Berlin,Berlin,3849191.0,3.0,4123.0,
ESCP-EAP European School of Management,Berlin,6801443.0,3.0,122.0,
Hertie School of Governance,Berlin,7322905.0,3.0,232.0,['http://www.hertie-school.org/']
Steinbeis University,Magdeburg,20322719.0,3.0,238.0,
Viadrina European University,Frankfurt (Oder),1045437.0,3.0,516.0,
University of Potsdam,Potsdam,2222720.0,3.0,2694.0,
University of Bremen,Bremen,2869911.0,3.0,3004.0,
Constructor University Bremen gGmbH (Priv. U),Bremen,30568016.0,3.0,396.0,
University of Hamburg,Hamburg,6279222.0,3.0,5364.0,
Hamburg University of Technology,Hamburg,824091.0,3.0,1615.0,
HafenCity University Hamburg,Hamburg,268193.0,3.0,318.0,
Helmut Schmidt University of the Federal Armed Forces Hamburg,Hamburg,417786.0,3.0,1140.0,
Bucerius Law School,Hamburg,6718661.0,3.0,139.0,
Technical University of Darmstadt,Darmstadt,2811385.0,3.0,4498.0,
Frankfurt University,Frankfurt am Main,5640624.0,3.0,4155.0,
Justus Liebig University Giessen,GieÃŸen,3167041.0,3.0,3909.0,
University of Kassel,Kassel,2469693.0,3.0,2784.0,
Philipps University of Marburg,Marburg,5179763.0,3.0,3224.0,
Frankfurt School of Finance & Management-HfB (Priv. H),Frankfurt am Main,56731563.0,3.0,257.0,
EBS University of Business and Law,Oestrich-Winkel,18988418.0,3.0,207.0,
University of Greifswald,Greifswald,560100.0,3.0,1204.0,
University of Rostock,Rostock,299686.0,3.0,1850.0,
Brunswick University of Technology,Braunschweig,749527.0,3.0,3334.0,
Clausthal University of Technology,Clausthal,140390.0,3.0,1010.0,
Georg August GÃ¶ttingen University,GÃ¶ttingen,4339665.0,3.0,4107.0,
University of Hannover,Hannover,1971049.0,3.0,4191.0,
Hannover Medical School,Hannover,,3.0,2196.0,
University of Veterinary Medicine Hannover,Hannover,349344.0,3.0,1085.0,
University of Hildesheim,Hildesheim,1568815.0,3.0,839.0,
Leuphana University of LÃ¼neburg,LÃ¼neburg,1542497.0,3.0,1049.0,
Carl von Ossietzky the University of Oldenburg,Oldenburg,752421.0,3.0,2413.0,
OsnabrÃ¼ck University,OsnabrÃ¼ck,477963.0,3.0,1541.0,
University of Vechta,Vechta,137410.0,3.0,456.0,
Aachen University,Aachen,1955171.0,3.0,8404.0,
Bielefeld University,Bielefeld,1101094.0,3.0,3379.0,
Ruhr-University Bochum,Bochum,424709.0,3.0,5362.0,
University of Bonn,Bonn,0.0,3.0,4581.0,
TU Dortmund University,Dortmund,123353.0,3.0,3816.0,
Heinrich Heine University DÃ¼sseldorf,DÃ¼sseldorf,0.0,3.0,2378.0,
University of Duisburg-Essen,Essen,844613.0,3.0,4053.0,
University of Hagen,Hagen,16874556.0,3.0,1321.0,
University of Cologne,Cologne,747348.0,3.0,4894.0,
German Sport University Cologne,Cologne,221159.0,3.0,584.0,
University of MÃ¼nster,MÃ¼nster,2862051.0,3.0,4825.0,
University of Paderborn,Paderborn,81967.0,3.0,2475.0,
University of Siegen,Siegen,202107.0,3.0,1977.0,
University of Wuppertal,Wuppertal,119172.0,3.0,2310.0,
University Witten/Herdecke,Witten-Herdecke,6785989.0,3.0,659.0,
University of Kaiserslautern,Kaiserslautern,4444992.0,3.0,2943.0,
University of Koblenz,Koblenz,3401105.0,3.0,649.0,
Johannes Gutenberg University Mainz,Mainz,1242500.0,3.0,3887.0,
German University of Administrative Sciences Speyer,Speyer,53790.0,3.0,120.0,
University of Trier,Trier,926741.0,3.0,1202.0,
WHU â€“ Otto Beisheim School of Management,Vallendar,24867293.0,3.0,372.0,
Saarland University,SaarbrÃ¼cken,2995729.0,3.0,2274.0,
Chemnitz University of Technology,Chemnitz,392629.0,3.0,2091.0,
Technische UniversitÃ¤t Dresden,Dresden,1579320.0,3.0,6286.0,
Technische UniversitÃ¤t Bergakademie Freiberg,Freiberg,322340.0,3.0,1405.0,
Leipzig University,Leipzig,484442.0,3.0,3704.0,
HHL Leipzig Graduate School of Management,Leipzig,5676156.0,3.0,111.0,
Martin Luther University,Halle (Saale),635741.0,3.0,2517.0,
Otto von Guericke University of Magdeburg,Magdeburg,199688.0,3.0,1719.0,
University of Flensburg,Flensburg,200960.0,3.0,587.0,
University of Kiel,Kiel,481343.0,3.0,3474.0,
University of LÃ¼beck,LÃ¼beck,207445.0,3.0,716.0,
University of Erfurt,Erfurt,234913.0,3.0,747.0,
Ilmenau University of Technology,Ilmenau,541046.0,3.0,1301.0,
Friedrich-Schiller-University of Jena,Jena,833820.0,3.0,3329.0,
Bauhaus-UniversitÃ¤t Weimar,Weimar,347763.0,3.0,876.0,
University of Education Freiburg,Freiburg im Breisgau,923250.0,3.0,433.0,
University of Education Heidelberg,Heidelberg,726420.0,3.0,397.0,
University of Education Karlsruhe,Karlsruhe,719207.0,3.0,330.0,
University of Education Ludwigsburg,Ludwigsburg,1000844.0,3.0,410.0,
University of Education SchwÃ¤bisch GmÃ¼nd,SchwÃ¤bisch GmÃ¼nd,533167.0,3.0,268.0,
University of Education Weingarten,Weingarten,563020.0,3.0,269.0,
Munich School of Philosophy,Munich,205978.0,3.0,38.0,
Augustana-Hochschule Neuendettelsau (ev),Neuendettelsau,4550.0,3.0,42.0,
Philosophisch-Theologische Hochschule Frankfurt a.M. (rk),Frankfurt am Main,102119.0,3.0,41.0,
Fulda Faculty of Theology,Fulda,281.0,3.0,22.0,
Faculty of Theology in Paderborn,Paderborn,0.0,3.0,35.0,
Cologne University of Catholic Theology,Cologne,34793.0,3.0,19.0,
Kirchliche Hochschule Wuppertal / Bethel (ev),Wuppertal,0.0,3.0,29.0,
Faculty of Theology Trier,Trier,100.0,3.0,26.0,
College of Philosophy and Theology,,,,,
University of Music Freiburg,Freiburg im Breisgau,129496.0,3.0,166.0,
State Academy of Fine Arts Karlsruhe,Karlsruhe,138083.0,3.0,61.0,
Karlsruhe College of Arts and Design,Karlsruhe,264775.0,3.0,56.0,
University of Music Karlsruhe,Karlsruhe,485831.0,3.0,142.0,
Mannheim University of Music and Performing Arts,Mannheim,236805.0,3.0,133.0,
Stuttgart State Academy of Art and Design,Stuttgart,0.0,3.0,162.0,
State University of Music and the Performing Arts Stuttgart,Stuttgart,710006.0,3.0,232.0,
Trossingen School of Music,Trossingen,188916.0,3.0,101.0,
University of Music and Performing Arts Munich,Munich,262483.0,3.0,292.0,
University of Music WÃ¼rzburg,WÃ¼rzburg,109599.0,3.0,149.0,
Berlin University of the Arts,Berlin,729828.0,3.0,909.0,
Film University Babelsberg Konrad Wolf,Potsdam,127892.0,3.0,247.0,
University of Fine Arts of Hamburg,Hamburg,84548.0,3.0,103.0,
Hamburg University of Music and Theater,Hamburg,681521.0,3.0,262.0,
Frankfurt University of Music and Performing Arts,Frankfurt am Main,187727.0,3.0,227.0,
Offenbach Academy of Art and Design,Offenbach am Main,89539.0,3.0,129.0,
Braunschweig University of Art,Braunschweig,65917.0,3.0,160.0,
Detmold Music School,Detmold,96300.0,3.0,185.0,
Kunstakademie DÃ¼sseldorf,DÃ¼sseldorf,0.0,3.0,110.0,
Robert Schumann School of Music and Media,DÃ¼sseldorf,0.0,3.0,163.0,
Folkwang University of the Arts,Essen,1088691.0,3.0,333.0,
Academy of Media Arts,Cologne,0.0,3.0,125.0,
Cologne University of Music and Dance,Cologne,177828.0,3.0,299.0,
Academy of Fine Arts MÃ¼nster,MÃ¼nster,3982.0,3.0,67.0,
Dresden Academy of Fine Arts,Dresden,68064.0,3.0,122.0,
University of Music Carl Maria von Weber Dresden,Dresden,446097.0,3.0,175.0,
University of Music & Theatre Leipzig,Leipzig,43120.0,3.0,248.0,
Burg Giebichenstein University of Art and Design Halle,Halle (Saale),132903.0,3.0,235.0,
Muthesius Academy of Fine Arts and Design,Kiel,1940.0,3.0,100.0,
University of Music LÃ¼beck,LÃ¼beck,207700.0,3.0,115.0,
University of Music Franz Liszt Weimar,Weimar,161832.0,3.0,271.0,
Brandenburg University of Applied Sciences,Brandenburg,437445.0,3.0,261.0,
Hamburg University of Applied Sciences,Hamburg,1873134.0,3.0,1437.0,
Fulda University of Applied Sciences,Fulda,1952166.0,3.0,788.0,
RheinMain University of Applied Sciences,Wiesbaden,1721365.0,3.0,1006.0,
Aachen University of Applied Sciences,Aachen,1957733.0,3.0,1000.0,
Bielefeld University of Applied Sciences,Bielefeld,963663.0,3.0,869.0,
Bochum University of Applied Sciences,Bochum,130585.0,3.0,563.0,
University of Applied Sciences Bonn-Rhein-Sieg,Sankt Augustin,179290.0,3.0,739.0,
Dortmund University of Applied Sciences and Arts,Dortmund,14400.0,3.0,893.0,
DÃ¼sseldorf University of Applied Sciences,DÃ¼sseldorf,0.0,3.0,790.0,
WestfÃ¤lische Hochschule Gelsenkirchen Bocholt Recklinghausen,Gelsenkirchen,0.0,3.0,686.0,
Cologne University of Applied Sciences,Cologne,589827.0,3.0,1819.0,
