DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2016,7011041,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2017,7080960,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2018,7225844,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2019,7344462,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2020,6696917,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2021,7028656,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2022,7209012,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2023,7254303,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Austria,2024,7264576,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2016,7381226,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2017,7501742,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2018,7626984,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2019,7747014,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2020,7112700,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2021,7688716,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2022,8036304,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2023,8101526,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Belgium,2024,8080728,p,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2016,5692180,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2017,5793060,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2018,5791589,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2019,5712238,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2020,5480723,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2021,5523904,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2022,5576439,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2023,5776808,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Bulgaria,2024,5718824,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2016,7833706,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2017,7815687,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2018,7857372,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2019,7903188,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2020,7608207,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2021,7828655,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2022,7965499,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2023,8106017,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Switzerland,2024,8117327,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Cyprus,2016,710685,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Cyprus,2017,741587,,
ESTAT:NAMA_10_A64_E$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Thousand hours worked,Total - all NACE activities,Total employment domestic concept,Cyprus,2018,779440,,
