freq,freq_label,unit,unit_label,nace_r2,nace_r2_label,na_item,na_item_label,geo,geo_label,time,time_label,employment_thousands
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2010,2010,3769.4
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2011,2011,3817.3
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2012,2012,3820.2
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2013,2013,3802.9
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2014,2014,3813.1
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2015,2015,3841.3
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2016,2016,3886.8
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2017,2017,3943.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2018,2018,4000.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2019,2019,4061.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2020,2020,4040.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2021,2021,4097.1
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2022,2022,4175.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BE,Belgium,2023,2023,4204.3
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2010,2010,2627.53
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2011,2011,2587.05
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2012,2012,2539.94
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2013,2013,2511.06
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2014,2014,2506.23
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2015,2015,2530.85
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2016,2016,2576.08
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2017,2017,2584.39
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2018,2018,2605.95
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2019,2019,2646.2
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2020,2020,2573.29
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2021,2021,2598.15
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2022,2022,2609.12
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,BG,Bulgaria,2023,2023,2647.26
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2010,2010,4251.4
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2011,2011,4230.93
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2012,2012,4261.22
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2013,2013,4303.73
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2014,2014,4340.59
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2015,2015,4423.97
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2016,2016,4462.32
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2017,2017,4532.86
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2018,2018,4594.36
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2019,2019,4598.01
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2020,2020,4496.35
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2021,2021,4541.05
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2022,2022,4577.74
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,CZ,Czechia,2023,2023,4639.86
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2010,2010,2605.8
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2011,2011,2603.05
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2012,2012,2585.76
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2013,2013,2588.55
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2014,2014,2606.35
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2015,2015,2643.54
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2016,2016,2693.15
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2017,2017,2735.66
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2018,2018,2780.13
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2019,2019,2823.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2020,2020,2792.48
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2021,2021,2860.1
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2022,2022,2981.21
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DK,Denmark,2023,2023,3020.18
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2010,2010,36581.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2011,2011,37039.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2012,2012,37538.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2013,2013,37877.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2014,2014,38290.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2015,2015,38723.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2016,2016,39326.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2017,2017,39997.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2018,2018,40649.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2019,2019,41145.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2020,2020,40927.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2021,2021,41097.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2022,2022,41767.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,DE,Germany,2023,2023,42148.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2010,2010,520.62
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2011,2011,524.52
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2012,2012,539.02
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2013,2013,544.72
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2014,2014,552.96
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2015,2015,559.82
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2016,2016,568.38
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2017,2017,573.26
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2018,2018,580.21
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2019,2019,578.38
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2020,2020,574.82
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2021,2021,578.94
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2022,2022,593.16
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EE,Estonia,2023,2023,606.46
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2010,2010,1591.74
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2011,2011,1568.44
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2012,2012,1561.5
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2013,2013,1603.63
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2014,2014,1649.9
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2015,2015,1714.92
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2016,2016,1785.83
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2017,2017,1858.43
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2018,2018,1922.72
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2019,2019,1998.26
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2020,2020,1939.66
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2021,2021,2084.41
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2022,2022,2230.13
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,IE,Ireland,2023,2023,2315.12
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2010,2010,3138.3
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2011,2011,3002.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2012,2012,2850.3
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2013,2013,2852.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2014,2014,2998.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2015,2015,2979.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2016,2016,3154.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2017,2017,3149.1
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2018,2018,3377.2
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2019,2019,3478.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2020,2020,3344.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2021,2021,3534.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2022,2022,3687.3
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,EL,Greece,2023,2023,3760.4
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2010,2010,16799.5
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2011,2011,16382.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2012,2012,15549.6
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2013,2013,15127.7
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2014,2014,15293.6
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2015,2015,15772.0
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2016,2016,16129.6
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2017,2017,16645.6
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2018,2018,17063.5
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2019,2019,17553.4
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2020,2020,16709.1
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2021,2021,17145.8
A,Annual,THS_PER,Thousand persons,TOTAL,Total - all NACE activities,SAL_DC,Employees domestic concept,ES,Spain,2022,2022,17790.5
