QS_name,country,proposed_ETER_name,similarity,accept
Université Paris-Saclay,France,Université Paris-saclay,100.0,
Umeå University,Sweden,Umeå university,100.0,
Università degli Studi di Udine,Italy,Università degli Studi di UDINE,100.0,
Università degli Studi Roma Tre,Italy,Università degli Studi ROMA TRE,100.0,
Athens University of Economics And Business,Greece,Athens University of Economics and Business,100.0,
Silesian University of Technology in Gliwice,Poland,Silesian University of Technology in Gliwic,98.9,
Universidade de Santiago de Compostela,Spain,Universidad de Santiago de Compostela,98.7,
Università  Cattolica del Sacro Cuore,Italy,Università Cattolica del Sacro Cuore,98.6,
Università  degli Studi di Pavia,Italy,Università degli Studi di PAVIA,98.4,
ISCTE - Instituto Universitario de Lisboa,Portugal,ISCTE - Instituto Universitário de Lisboa,97.6,
"Sofia University ""St. Kliment Ohridski""",Bulgaria,Sofia University St. Kliment Ohridski,97.4,
Stefan cel Mare University of Suceava,Romania,"""Stefan cel Mare"" University of Suceava",97.4,
Universidade de Vigo,Spain,Universidad de Vigo,97.4,
Johannes Gutenberg Universität Mainz,Germany,Johannes Gutenberg-Universität Mainz,97.2,
Poznan University of Life Sciences,Poland,Poznań University of Life Sciences,97.1,
Transilvania University of Brasov,Romania,"""Transilvania"" University of Brasov",97.1,
Universitat Autónoma de Barcelona,Spain,Universitat Autònoma de Barcelona,97.0,
University of Naples - Federico II,Italy,University of Naples Federico II,97.0,
Ecole Normale Supérieure de Lyon,France,École normale supérieure de Lyon,96.9,
Ca' Foscari University of Venice,Italy,Ca’ Foscari University of Venice,96.9,
Poznan University of Technology,Poland,Poznań University of Technology,96.8,
Gdansk University of Technology,Poland,Gdańsk University of Technology,96.8,
Technical University of Kosice,Slovakia,Technical University of Košice,96.7,
"Universita' degli Studi di Napoli ""Parthenope""",Italy,"Università degli Studi di NAPOLI ""Parthenope""",96.7,
Université Jean Moulin Lyon 3,France,Université Jean Moulin - Lyon 3,96.7,
West University of Timisoara,Romania,West University of Timişoara,96.4,
Université Lumière Lyon 2,France,Université Lumière - Lyon 2,96.2,
Université Paris-Nanterre,France,Université Paris Nanterre,96.0,
Universita' degli Studi della Tuscia,Italy,Università degli Studi della TUSCIA,95.8,
"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,"""Gheorghe Asachi"" Technical University of Iasi",95.8,
Riga Stradins University,Latvia,Riga Stradinš University,95.8,
